date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-6-9,9:47:32,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,1,1,choice,sure,,155,,,697,25889,0
2021-6-9,9:47:34,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,1,1,info-sharing,,2,155,1,38,117,27692,0
2021-6-9,9:47:35,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,1,1,info-sharing,,2,149,0,78,149,28730,0
2021-6-9,9:47:36,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,1,1,choice,sure,,152,,,1294,29948,0
2021-6-9,9:47:38,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,1,1,info-sharing,,2,152,0,1,152,31483,0
2021-6-9,9:47:38,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,1,1,choice,sure,,149,,,808,31947,0
2021-6-9,9:47:40,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,1,1,info-sharing,,2,149,0,99,149,33547,0
2021-6-9,9:47:50,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,2,3,choice,sure,,157,,,1299,8024,0
2021-6-9,9:47:52,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,2,3,info-sharing,,1,157,0,48,157,9926,0
2021-6-9,9:47:54,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,2,3,choice,risky,,196,,,855,11870,0
2021-6-9,9:47:55,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,2,3,info-sharing,,2,196,0,31,196,13555,0
2021-6-9,9:47:57,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,2,3,choice,sure,,151,,,1006,15292,0
2021-6-9,9:47:59,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,2,3,info-sharing,,1,151,1,78,73,17038,0
2021-6-9,9:48:0,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,2,3,choice,sure,,144,,,1443,18170,0
2021-6-9,9:48:2,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,2,3,info-sharing,,1,144,0,93,144,19811,0
2021-6-9,9:48:3,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,2,3,choice,risky,,7,,,1450,20842,0
2021-6-9,9:48:5,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,2,3,info-sharing,,2,7,1,12,-5,22955,0
2021-6-9,9:48:7,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,2,3,choice,sure,,164,,,1092,25055,0
2021-6-9,9:48:9,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,2,3,info-sharing,,1,164,0,9,164,26754,0
2021-6-9,9:48:11,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,2,3,choice,risky,,9,,,1447,28688,0
2021-6-9,9:48:12,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,2,3,info-sharing,,2,9,0,69,9,30310,0
2021-6-9,9:48:15,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,2,3,choice,risky,,197,,,1289,32654,0
2021-6-9,9:48:16,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,2,3,info-sharing,,2,197,0,34,197,34251,0
2021-6-9,9:48:43,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,3,2,choice,miss,,0,,,1438,23571,0
2021-6-9,9:48:43,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,3,2,choice,miss,,0,,,1092,23577,0
2021-6-9,9:48:45,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,3,2,info-sharing,,-1,0,0,45,0,25088,0
2021-6-9,9:48:45,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,3,2,info-sharing,,-1,0,0,98,0,25186,0
2021-6-9,9:48:55,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,3,2,choice,sure,,134,,,1226,35316,0
2021-6-9,9:48:56,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,3,2,choice,risky,,496,,,1934,36448,0
2021-6-9,9:48:59,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,3,2,info-sharing,,1,496,1,55,441,39302,0
2021-6-9,9:48:59,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,3,2,info-sharing,,2,134,1,58,76,39687,0
2021-6-9,9:49:1,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,3,2,choice,risky,,42,,,1921,41707,0
2021-6-9,9:49:3,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,3,2,choice,risky,,46,,,1214,43472,0
2021-6-9,9:49:6,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,3,3,2,info-sharing,,1,46,1,32,14,45854,0
2021-6-9,9:49:7,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,3,2,info-sharing,,1,42,1,36,6,47520,0
2021-6-9,9:49:8,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,3,2,choice,sure,,150,,,2035,48544,0
2021-6-9,9:49:10,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,3,2,info-sharing,,2,150,0,8,150,50100,0
2021-6-9,9:49:10,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,3,2,choice,sure,,148,,,1330,50131,0
2021-6-9,9:49:11,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,3,2,info-sharing,,2,148,0,93,148,51699,0
2021-6-9,12:0:10,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,0,1,choice,sure,,153,,,153,9134,0
2021-6-9,12:0:10,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,xtE-MtNZDAbbKjxVAAAG,1,1,0,1,info-sharing,,2,153,0,78,153,9442,0
2021-6-9,12:0:11,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,0,1,choice,risky,,33,,,33,10506,0
2021-6-9,12:0:14,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,1,0,1,info-sharing,,1,33,0,43,33,13220,0
2021-6-9,12:0:15,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,0,1,choice,sure,,165,,,198,14172,0
2021-6-9,12:0:16,INHOUSETEST3,binary,false,1,2,NtPKonx_session_0,Jtj4KHA0WUKUdRPuAAAH,2,2,0,1,info-sharing,,2,165,1,40,125,15920,0
