date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-19,10:29:8,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,30,0,4,choice,sure,,118,,20,2596,194193,0
2021-11-19,10:29:11,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,30,0,4,info-sharing,,1,118,1,20,98,196651,0
2021-11-19,10:29:12,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,31,0,4,choice,sure,,115,,20,3495,197723,0
2021-11-19,10:29:13,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,31,0,4,choice,risky,,166,,20,3538,198742,0
2021-11-19,10:29:13,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,31,0,4,choice,risky,,166,,20,3293,199015,0
2021-11-19,10:29:13,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,31,0,4,info-sharing,,2,115,0,20,115,199513,0
2021-11-19,10:29:14,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,31,0,4,choice,sure,,116,,20,2692,199651,0
2021-11-19,10:29:15,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,31,0,4,info-sharing,,2,166,1,20,146,200662,0
2021-11-19,10:29:15,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,31,0,4,info-sharing,,1,166,1,20,146,200670,0
2021-11-19,10:29:16,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,31,0,4,info-sharing,,1,116,0,20,116,201680,0
2021-11-19,10:29:17,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,32,0,4,choice,sure,,116,,20,3611,202691,0
2021-11-19,10:29:18,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,32,0,4,choice,sure,,119,,20,3392,203806,0
2021-11-19,10:29:18,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,32,0,4,choice,sure,,117,,20,2809,204077,0
2021-11-19,10:29:18,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,32,0,4,info-sharing,,2,116,0,20,116,204213,0
2021-11-19,10:29:18,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,32,0,4,choice,sure,,116,,20,3634,204371,0
2021-11-19,10:29:20,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,32,0,4,info-sharing,,2,119,0,20,119,205746,0
2021-11-19,10:29:20,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,32,0,4,info-sharing,,1,116,1,20,96,206289,0
2021-11-19,10:29:21,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,32,0,4,info-sharing,,1,117,0,20,117,206686,0
2021-11-19,10:29:22,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,33,0,4,choice,risky,,65,,20,3676,208049,0
2021-11-19,10:29:22,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,33,0,4,choice,sure,,117,,20,2926,208120,0
2021-11-19,10:29:22,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,33,0,4,choice,sure,,117,,20,3731,208426,0
2021-11-19,10:29:22,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,33,0,4,choice,sure,,115,,20,3507,208588,0
2021-11-19,10:29:23,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,33,0,4,info-sharing,,1,65,0,20,65,209463,0
2021-11-19,10:29:24,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,33,0,4,info-sharing,,1,117,1,20,97,209951,0
2021-11-19,10:29:24,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,33,0,4,info-sharing,,1,117,0,20,117,210372,0
2021-11-19,10:29:24,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,33,0,4,info-sharing,,2,115,0,20,115,210411,0
2021-11-19,10:29:25,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,34,0,4,choice,sure,,115,,20,3791,211443,0
2021-11-19,10:29:26,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,34,0,4,choice,sure,,116,,20,3042,212311,0
2021-11-19,10:29:26,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,34,0,4,choice,sure,,116,,20,3827,212433,0
2021-11-19,10:29:27,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,34,0,4,info-sharing,,2,115,0,20,115,212788,0
2021-11-19,10:29:27,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,34,0,4,choice,sure,,117,,20,3624,213085,0
2021-11-19,10:29:28,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,34,0,4,info-sharing,,1,116,0,20,116,214581,0
2021-11-19,10:29:29,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,34,0,4,info-sharing,,1,116,1,20,96,214778,0
2021-11-19,10:29:29,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,34,0,4,info-sharing,,2,117,0,20,117,214786,0
2021-11-19,10:29:30,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,35,0,4,choice,sure,,118,,20,3909,216339,0
2021-11-19,10:29:30,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,35,0,4,choice,sure,,116,,20,3923,216479,0
2021-11-19,10:29:31,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,35,0,4,choice,sure,,117,,20,3159,217322,0
2021-11-19,10:29:32,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,35,0,4,info-sharing,,2,118,0,20,118,217969,0
2021-11-19,10:29:32,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,35,0,4,info-sharing,,1,116,1,20,96,218208,0
2021-11-19,10:29:33,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,35,0,4,choice,risky,,167,,20,3791,219278,0
2021-11-19,10:29:33,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,35,0,4,info-sharing,,1,117,0,20,117,219587,0
2021-11-19,10:29:35,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,35,0,4,info-sharing,,1,167,1,20,147,221202,0
2021-11-19,10:29:36,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,36,0,4,choice,sure,,117,,20,4026,222316,0
2021-11-19,10:29:37,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,36,0,4,choice,sure,,117,,20,4020,222950,0
2021-11-19,10:29:37,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,36,0,4,choice,sure,,117,,20,3888,223086,0
2021-11-19,10:29:37,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,36,0,4,choice,sure,,117,,20,3276,223413,0
2021-11-19,10:29:38,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,36,0,4,info-sharing,,2,117,0,20,117,224396,0
2021-11-19,10:29:39,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,36,0,4,info-sharing,,1,117,1,20,97,224739,0
2021-11-19,10:29:39,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,36,0,4,info-sharing,,2,117,0,20,117,225307,0
2021-11-19,10:29:40,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,36,0,4,info-sharing,,1,117,0,20,117,225630,0
2021-11-19,10:29:41,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,37,0,4,choice,sure,,117,,20,4143,226928,0
2021-11-19,10:29:41,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,37,0,4,choice,sure,,117,,20,4117,227260,0
2021-11-19,10:29:41,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,37,0,4,choice,sure,,115,,20,4003,227537,0
2021-11-19,10:29:42,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,37,0,4,choice,sure,,117,,20,3393,227678,0
2021-11-19,10:29:43,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,37,0,4,info-sharing,,1,117,1,20,97,229204,0
2021-11-19,10:29:43,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,37,0,4,info-sharing,,2,117,0,20,117,229438,0
2021-11-19,10:29:44,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,37,0,4,info-sharing,,2,115,0,20,115,229671,0
2021-11-19,10:29:44,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,37,0,4,info-sharing,,1,117,0,20,117,230442,0
2021-11-19,10:29:46,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,38,0,4,choice,sure,,116,,20,4259,231708,0
2021-11-19,10:29:46,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,38,0,4,choice,sure,,117,,20,4214,232015,0
2021-11-19,10:29:46,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,38,0,4,choice,sure,,117,,20,3510,232081,0
2021-11-19,10:29:46,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,38,0,4,choice,sure,,117,,20,4120,232593,0
